,Path,Total_latency,Total_noise,Signal_noise_ratio
210,D->A->B->F->E,0.00890620175472357,4.465890975892175e-06,21.66013030065086
211,D->A->C->E,0.006047602246109837,2.9772606505947828e-06,23.45716306301888
212,D->B->A->C->E,0.007974311645826512,4.093733394567826e-06,22.064057614826496
213,D->B->F->E,0.00729492964931572,3.7215758132434787e-06,22.422831952091997
214,D->C->A->B->F->E,0.011178314223669307,5.582363719865217e-06,20.69088607736071
215,D->C->E,0.003573014425898296,1.8607879066217391e-06,25.520618189390596
216,D->E,0.001905261348968936,9.303939533108696e-07,28.53091814603041
217,D->F->B->A->C->E,0.01000272545852211,5.024127347878696e-06,21.180616382347242
218,D->F->E,0.0050483841439966206,2.419024278608261e-06,24.300895219874633
219,D->A->B->F,0.005811731760538548,2.9772606505947828e-06,23.45716306301888
220,D->A->C->E->F,0.00914207224029486,4.465890975892175e-06,21.66013030065086
221,D->B->A->C->E->F,0.011068781640011535,5.582363719865217e-06,20.69088607736071
222,D->B->F,0.004200459655130697,2.2329454879460873e-06,24.66970983904624
223,D->C->A->B->F,0.008083844229484284,4.093733394567826e-06,22.064057614826496
224,D->C->E->F,0.006667484420083318,3.3494182319191305e-06,22.90975783270772
225,D->E->C->A->B->F,0.009954072657679449,5.024127347878696e-06,21.180616382347242
226,D->E->F,0.004999731343153959,2.419024278608261e-06,24.300895219874633
227,D->F,0.0019539141498115978,9.303939533108696e-07,28.53091814603041
228,E->C->A,0.004142340897140901,2.046866697283913e-06,25.074357571466308
229,E->C->D->A,0.005478275774867232,2.7911818599326087e-06,23.759705598833783
230,E->C->D->B->A,0.007404985174583908,3.907654603905652e-06,22.28145848803562
231,E->C->D->F->B->A,0.009433398987279504,4.838048557216522e-06,21.35717564925303
232,E->D->A,0.003810522697937872,1.8607879066217391e-06,25.520618189390596
233,E->D->B->A,0.005737232097654548,2.9772606505947828e-06,23.45716306301888
234,E->D->C->A,0.006082635166883607,2.9772606505947828e-06,23.45716306301888
235,E->D->F->B->A,0.007765645910350145,3.907654603905652e-06,22.28145848803562
236,E->F->B->A,0.0070009404057546345,3.5354970225813046e-06,22.659474268912586
237,E->F->B->D->A,0.009200190998284655,4.651969766554349e-06,21.471088656857372
238,E->F->B->D->C->A,0.011472303467230391,5.768442510527392e-06,20.53900514564361
239,E->F->D->A,0.006953645492965557,3.3494182319191305e-06,22.90975783270772
